point,pipeline,unit,quantity,program_value,truth_value,delta,delta_m_equiv,tolerance,status,truth_source
N1,geodetic->SPC 2111,m,northing,35935.0149,35935.015,-9.999999747e-05,-9.999999747e-05,0.002,PASS,llh_N1_2111.json
N1,geodetic->SPC 2111,m,easting,7952379.9603,7952379.96,0.0003000004217,0.0003000004217,0.002,PASS,llh_N1_2111.json
N1,geodetic->SPC 2111,m,grid_scale_factor,1.00011284,1.00011284,0,,2e-08,PASS,llh_N1_2111.json
N1,geodetic->SPC 2111,m,convergence_arcsec,-1574.24,-1574.24,0,,0.02,PASS,llh_N1_2111.json
N1,geodetic->SPC 2111,m,geoid_height_m,-36.994,-36.994,0,,0.002,PASS,geoid_N1.json
N1,geodetic->SPC 2111,m,elevation_factor,0.99997756,0.9999775576285929,2.371407182e-09,,2e-08,PASS,geoid_N1.json + derivation R/(R+H+N)
N1,geodetic->SPC 2111,m,combined_factor,1.0000904,1.0000903950961955,4.903804474e-09,,2e-08,PASS,llh_N1_2111.json k * derived EF
N2,geodetic->SPC 2111,m,northing,364265.841,364265.841,0,0,0.002,PASS,llh_N2_2111.json
N2,geodetic->SPC 2111,m,easting,7884405.8493,7884405.849,0.0002999994904,0.0002999994904,0.002,PASS,llh_N2_2111.json
N2,geodetic->SPC 2111,m,grid_scale_factor,1.00038104,1.00038104,0,,2e-08,PASS,llh_N2_2111.json
N2,geodetic->SPC 2111,m,convergence_arcsec,-4033.17,-4033.17,0,,0.02,PASS,llh_N2_2111.json
N2,geodetic->SPC 2111,m,geoid_height_m,-34.777,-34.777,0,,0.002,PASS,geoid_N2.json
N2,geodetic->SPC 2111,m,elevation_factor,0.99997564,0.9999756404239118,-4.239117946e-10,,2e-08,PASS,geoid_N2.json + derivation R/(R+H+N)
N2,geodetic->SPC 2111,m,combined_factor,1.00035667,1.000356671141939,-1.141938988e-09,,2e-08,PASS,llh_N2_2111.json k * derived EF
N3,geodetic->SPC 2111,m,northing,193687.687,193687.687,0,0,0.002,PASS,llh_N3_2111.json
N3,geodetic->SPC 2111,m,easting,8203742.6896,8203742.69,-0.0004000002518,-0.0004000002518,0.002,PASS,llh_N3_2111.json
