p1_2111_m: direction='geodetic to State Plane', source_zone=None, target_zone=2111, input_unit=m, output_unit=m, longitude_convention=NEGATIVE_WEST, apply_geoid=True, input=p1_2111_m.csv, zip=p1_2111_m_MI-N.zip
p1_2111_ift: direction='geodetic to State Plane', source_zone=None, target_zone=2111, input_unit=m, output_unit=ift, longitude_convention=NEGATIVE_WEST, apply_geoid=True, input=p1_2111_ift.csv, zip=p1_2111_ift_MI-N.zip
p1_2111_usft: direction='geodetic to State Plane', source_zone=None, target_zone=2111, input_unit=m, output_unit=usft, longitude_convention=NEGATIVE_WEST, apply_geoid=True, input=p1_2111_usft.csv, zip=p1_2111_usft_MI-N.zip
p1_2112_m: direction='geodetic to State Plane', source_zone=None, target_zone=2112, input_unit=m, output_unit=m, longitude_convention=NEGATIVE_WEST, apply_geoid=True, input=p1_2112_m.csv, zip=p1_2112_m_MI-C.zip
p1_2112_ift: direction='geodetic to State Plane', source_zone=None, target_zone=2112, input_unit=m, output_unit=ift, longitude_convention=NEGATIVE_WEST, apply_geoid=True, input=p1_2112_ift.csv, zip=p1_2112_ift_MI-C.zip
p1_2112_usft: direction='geodetic to State Plane', source_zone=None, target_zone=2112, input_unit=m, output_unit=usft, longitude_convention=NEGATIVE_WEST, apply_geoid=True, input=p1_2112_usft.csv, zip=p1_2112_usft_MI-C.zip
p1_2113_m: direction='geodetic to State Plane', source_zone=None, target_zone=2113, input_unit=m, output_unit=m, longitude_convention=NEGATIVE_WEST, apply_geoid=True, input=p1_2113_m.csv, zip=p1_2113_m_MI-S.zip
p1_2113_ift: direction='geodetic to State Plane', source_zone=None, target_zone=2113, input_unit=m, output_unit=ift, longitude_convention=NEGATIVE_WEST, apply_geoid=True, input=p1_2113_ift.csv, zip=p1_2113_ift_MI-S.zip
p1_2113_usft: direction='geodetic to State Plane', source_zone=None, target_zone=2113, input_unit=m, output_unit=usft, longitude_convention=NEGATIVE_WEST, apply_geoid=True, input=p1_2113_usft.csv, zip=p1_2113_usft_MI-S.zip
p2_2111_m: direction='State Plane to geodetic', source_zone=2111, target_zone=None, input_unit=m, output_unit=m, longitude_convention=NEGATIVE_WEST, apply_geoid=True, input=p2_2111_m.csv, zip=p2_2111_m_GEODETIC.zip
p2_2111_ift: direction='State Plane to geodetic', source_zone=2111, target_zone=None, input_unit=ift, output_unit=ift, longitude_convention=NEGATIVE_WEST, apply_geoid=True, input=p2_2111_ift.csv, zip=p2_2111_ift_GEODETIC.zip
p2_2111_usft: direction='State Plane to geodetic', source_zone=2111, target_zone=None, input_unit=usft, output_unit=usft, longitude_convention=NEGATIVE_WEST, apply_geoid=True, input=p2_2111_usft.csv, zip=p2_2111_usft_GEODETIC.zip
p2_2112_m: direction='State Plane to geodetic', source_zone=2112, target_zone=None, input_unit=m, output_unit=m, longitude_convention=NEGATIVE_WEST, apply_geoid=True, input=p2_2112_m.csv, zip=p2_2112_m_GEODETIC.zip
p2_2112_ift: direction='State Plane to geodetic', source_zone=2112, target_zone=None, input_unit=ift, output_unit=ift, longitude_convention=NEGATIVE_WEST, apply_geoid=True, input=p2_2112_ift.csv, zip=p2_2112_ift_GEODETIC.zip
p2_2112_usft: direction='State Plane to geodetic', source_zone=2112, target_zone=None, input_unit=usft, output_unit=usft, longitude_convention=NEGATIVE_WEST, apply_geoid=True, input=p2_2112_usft.csv, zip=p2_2112_usft_GEODETIC.zip
p2_2113_m: direction='State Plane to geodetic', source_zone=2113, target_zone=None, input_unit=m, output_unit=m, longitude_convention=NEGATIVE_WEST, apply_geoid=True, input=p2_2113_m.csv, zip=p2_2113_m_GEODETIC.zip
p2_2113_ift: direction='State Plane to geodetic', source_zone=2113, target_zone=None, input_unit=ift, output_unit=ift, longitude_convention=NEGATIVE_WEST, apply_geoid=True, input=p2_2113_ift.csv, zip=p2_2113_ift_GEODETIC.zip
p2_2113_usft: direction='State Plane to geodetic', source_zone=2113, target_zone=None, input_unit=usft, output_unit=usft, longitude_convention=NEGATIVE_WEST, apply_geoid=True, input=p2_2113_usft.csv, zip=p2_2113_usft_GEODETIC.zip
p3_2111_to_2112_m: direction='zone to zone', source_zone=2111, target_zone=2112, input_unit=m, output_unit=m, longitude_convention=NEGATIVE_WEST, apply_geoid=True, input=p3_2111_to_2112_m.csv, zip=p3_2111_to_2112_m_MI-C.zip
p3_2111_to_2112_ift: direction='zone to zone', source_zone=2111, target_zone=2112, input_unit=ift, output_unit=ift, longitude_convention=NEGATIVE_WEST, apply_geoid=True, input=p3_2111_to_2112_ift.csv, zip=p3_2111_to_2112_ift_MI-C.zip
p3_2111_to_2112_usft: direction='zone to zone', source_zone=2111, target_zone=2112, input_unit=usft, output_unit=usft, longitude_convention=NEGATIVE_WEST, apply_geoid=True, input=p3_2111_to_2112_usft.csv, zip=p3_2111_to_2112_usft_MI-C.zip
p3_2112_to_2111_m: direction='zone to zone', source_zone=2112, target_zone=2111, input_unit=m, output_unit=m, longitude_convention=NEGATIVE_WEST, apply_geoid=True, input=p3_2112_to_2111_m.csv, zip=p3_2112_to_2111_m_MI-N.zip
p3_2112_to_2111_ift: direction='zone to zone', source_zone=2112, target_zone=2111, input_unit=ift, output_unit=ift, longitude_convention=NEGATIVE_WEST, apply_geoid=True, input=p3_2112_to_2111_ift.csv, zip=p3_2112_to_2111_ift_MI-N.zip
p3_2112_to_2111_usft: direction='zone to zone', source_zone=2112, target_zone=2111, input_unit=usft, output_unit=usft, longitude_convention=NEGATIVE_WEST, apply_geoid=True, input=p3_2112_to_2111_usft.csv, zip=p3_2112_to_2111_usft_MI-N.zip
p3_2112_to_2113_m: direction='zone to zone', source_zone=2112, target_zone=2113, input_unit=m, output_unit=m, longitude_convention=NEGATIVE_WEST, apply_geoid=True, input=p3_2112_to_2113_m.csv, zip=p3_2112_to_2113_m_MI-S.zip
p3_2112_to_2113_ift: direction='zone to zone', source_zone=2112, target_zone=2113, input_unit=ift, output_unit=ift, longitude_convention=NEGATIVE_WEST, apply_geoid=True, input=p3_2112_to_2113_ift.csv, zip=p3_2112_to_2113_ift_MI-S.zip
p3_2112_to_2113_usft: direction='zone to zone', source_zone=2112, target_zone=2113, input_unit=usft, output_unit=usft, longitude_convention=NEGATIVE_WEST, apply_geoid=True, input=p3_2112_to_2113_usft.csv, zip=p3_2112_to_2113_usft_MI-S.zip
p3_2113_to_2112_m: direction='zone to zone', source_zone=2113, target_zone=2112, input_unit=m, output_unit=m, longitude_convention=NEGATIVE_WEST, apply_geoid=True, input=p3_2113_to_2112_m.csv, zip=p3_2113_to_2112_m_MI-C.zip
p3_2113_to_2112_ift: direction='zone to zone', source_zone=2113, target_zone=2112, input_unit=ift, output_unit=ift, longitude_convention=NEGATIVE_WEST, apply_geoid=True, input=p3_2113_to_2112_ift.csv, zip=p3_2113_to_2112_ift_MI-C.zip
