# The following file can be used to verify proper interpolation and consistency
# with the NAPGD2022 beta version (beta_v0a).  These values
# should only be used for testing purposes and not as geodetic control nor the
# actual NAPGD2022 value.
#
# Last Updated: 20260423
#
# Input Coordinates:
# Latitude_decdeg: ITRF2020
# Longitude_decdeg: ITRF2020
# Ellipsoid_ht_m [Optional]: ITRF2020
#
# If you do not have an ellipsoid height, the corresponding values will use the 
# 1 arcminute DEM value for the orthometric height and dynamic height. 
# If you input an ellipsoid height, the NAPGD2022 Orthometric height (h-N) is
# used to compute the dynamic height.
# The gravity value included here always uses the 1 arcminute DEM height value.
# 
Name,Category,Latitude_decdeg,Longitude_decdeg,Ellipsoid_ht_m,SGEOID2022_m,DGEOID2022_mmperyear,DEFLEC2022_Eta_arcseconds,DEFLEC2022_Xi_arcseconds,DEM2022_H1_m,GRAV2022_mpers2,GQS_m,Hdyn_m
Center,Grid,45.0,260.0,,-22.5544,0.26,0.285,-3.044,629.0,9.80433060,-0.0447,628.8931
New York,US Metro,40.71296814,-74.01361774,,-32.7807,0.11,-5.878,-2.438,2.693,9.80250143,0.0,2.6917
Los Angeles,US Metro,34.05875104,-118.2785129,,-35.2516,-0.29,-4.855,-16.458,86.478,9.79574201,-0.0063,86.3851
Toronto,Metro,43.64258362,-79.3871521,,-37.1948,0.36,0.74,-1.507,87.287,9.80432669,-0.0051,87.2699
Mexico City,Metro,19.433333,-99.133333,,-5.4452,-0.09,-1.033,1.464,2235.0,9.7794801,-0.5,2229.1218
Chicago,US Metro,41.881944,-87.627778,,-34.0343,0.21,1.073,2.117,178.694,9.80280107,-0.0063,178.6318
Dallas,US Metro,32.7695729,-96.80769497,,-27.4138,-0.18,-6.953,-0.672,126.065,9.79501378,-0.0036,125.9209
Houston,US Metro,29.75706116,-95.37304523,,-28.4306,-0.19,-0.766,1.329,12.698,9.79287048,-0.0003,12.6801
Washington DC,US Metro,38.8894787,-77.03534209,,-33.0068,0.03,3.521,-3.532,7.336,9.80101765,0.0001,7.3318
Philadelphia,US Metro,39.96518095,-75.18037257,,-33.8874,0.07,-1.996,3.228,17.289,9.80180602,0.0001,17.2815
Atlanta,US Metro,33.74497362,-84.39056463,,-30.6087,-0.03,-0.948,1.594,306.468,9.79511815,-0.0203,306.1227
Miami,US Metro,25.76255582,-80.20132012,,-27.1674,0.0,7.901,-2.326,4.328,9.79029809,0.0001,4.3206
San Diego,US Metro,32.71835537,-117.1612133,,-35.2413,-0.25,-9.806,-8.129,21.082,9.7951442,-0.0006,21.058
Monterrey,Metro,25.7111101,-100.3130365,,-19.3207,-0.13,8.169,8.912,530.908,9.78799715,-0.0579,529.9318
Phoenix,US Metro,33.44534417,-112.0653013,,-30.293,-0.23,-4.032,0.011,330.605,9.79473533,-0.0248,330.2204
Boston,US Metro,42.35972149,-71.05693588,,-28.619,0.16,-3.506,-5.478,3.492,9.80385807,-0.0,3.4909
Detroit,US Metro,42.33687333,-83.04910534,,-35.1126,0.27,2.198,-2.408,186.372,9.80320687,-0.0062,186.3147
San Francisco,US Metro,37.78808605,-122.4064385,,-32.2131,-0.24,-1.684,-2.305,19.649,9.79979086,-0.0,19.6362
Montr al,Metro,45.46980254,-73.6849855,,-31.5075,0.41,-2.422,5.061,45.872,9.80627069,-0.0017,45.8721
Santo Domingo,Metro,18.46160711,-69.93727393,,-35.2805,0.01,11.027,-17.872,47.404,9.78624740,0.0038,47.3071
Seattle,US Metro,47.62053517,-122.3492345,,-22.8673,-0.02,2.288,2.66,36.956,9.80723304,-0.0048,36.9602
Minneapolis,US Metro,44.96021753,-93.27376282,,-27.28,0.26,3.68,0.506,261.66,9.80581764,0.0023,261.6509
Tampa,US Metro,27.95163703,-82.456438,,-26.5305,0.0,2.315,2.301,4.656,9.79188584,0.0001,4.6495
Puebla,Metro,19.0393685,-98.20969377,,-4.2335,-0.06,-4.184,-4.424,2138.591,9.77979345,-0.3975,2133.0315
San Jose,US Metro,37.3351424,-121.8888423,,-32.3964,-0.29,-2.767,0.357,25.164,9.79897996,-0.0011,25.1448
Guatemala City,Metro,14.63385611,-90.51333154,,2.6688,0.01,0.153,-1.353,1497.476,9.77964378,-0.158,1493.5175
Denver,US Metro,39.75320284,-105.0001604,,-17.3082,-0.06,10.758,2.592,1583.519,9.79618160,-0.3624,1582.0006
Vancouver,Metro,49.27247776,-123.1242905,,-19.304,-0.05,-1.758,-11.844,23.472,9.80932966,-0.0016,23.4791
Baltimore,US Metro,39.28561704,-76.61091192,,-33.6572,0.04,6.566,-3.161,9.513,9.80101058,-0.0001,9.5081
St. Louis,US Metro,38.62474069,-90.18482335,,-31.6826,0.05,-1.138,4.617,129.599,9.79992404,-0.0053,129.5159
Orlando,US Metro,28.53536725,-81.38297247,,-29.2143,0.0,2.982,-1.615,30.745,9.79205113,-0.0003,30.7003
Charlotte,US Metro,35.22721204,-80.84244192,,-31.5416,-0.01,-2.787,2.343,214.76,9.79718935,-0.0006,214.5624
San Antonio,US Metro,29.43214086,-98.50037596,,-26.4952,-0.22,5.926,-0.773,199.616,9.79191500,-0.0118,199.3252
Port-au-Prince,Metro,18.57946264,-72.292591,,-26.0066,0.01,3.62,8.565,37.329,9.78564801,0.0003,37.2509
Portland,US Metro,45.58955224,-122.5977557,,-22.0355,-0.07,-2.002,-1.647,4.862,9.80632916,-0.0,4.8622
Pittsburgh,US Metro,40.44170823,-80.01160035,,-34.5866,0.1,-2.043,2.774,259.225,9.80102393,-0.0173,259.0885
Austin,US Metro,30.26657185,-97.74313734,,-26.9756,-0.24,3.674,-1.881,146.909,9.79279057,-0.0068,146.7083
Sacramento,US Metro,38.57624161,-121.493796,,-30.5493,-0.28,-2.736,-2.81,5.574,9.80000364,-0.0003,5.5709
San Salvador,Metro,13.70473372,-89.20875315,,1.3151,0.02,1.855,-5.618,703.377,9.78168985,-0.0101,701.6416
El Paso Ju rez,US Metro,31.69139438,-106.4253631,,-25.0791,-0.27,3.218,-1.205,1133.83,9.79073808,-0.1985,1132.0872
Las Vegas,US Metro,36.17042244,-115.155567,,-28.1707,-0.27,4.788,-1.46,620.749,9.79585162,-0.0859,620.1054
Cincinnati,US Metro,39.09581497,-84.51600381,,-34.8426,0.05,0.76,-0.844,157.488,9.8000131,-0.0107,157.388
Kansas City,US Metro,39.114289,-94.61007331,,-33.0006,0.03,1.214,0.479,233.11,9.79982548,-0.0171,232.9585
Columbus,US Metro,39.96053992,-82.99884803,,-34.5459,0.08,5.696,-0.283,227.377,9.80073203,-0.0136,227.2504
Cleveland,US Metro,41.49797824,-81.69428831,,-34.9505,0.19,-1.517,3.835,189.004,9.80231444,-0.0089,188.9285
Indianapolis,US Metro,39.77173413,-86.15700531,,-34.1581,0.09,3.843,3.483,216.751,9.80074900,-0.0093,216.6299
Anchorage,US Metro,61.20249452,-150.0174511,,7.4677,-1.15,-19.877,3.256,19.487,9.81908261,-0.0021,19.5129
New Orleans,US Metro,29.96572295,-90.10997437,,-27.3565,-0.04,0.139,4.291,-1.0,9.79313663,0.0,-0.9987
Nashville,US Metro,36.16240659,-86.7808981,,-30.2105,-0.02,-0.163,3.58,138.266,9.79774429,-0.0057,138.1465
Mount McKinley,Extreme points,63.069167,-151.006389,,18.2577,-0.74,-4.375,-30.466,5708.891,9.80737474,0.2155,5712.8992
Mount Logan,Extreme points,60.567222,-140.405278,,19.9596,-2.19,9.782,-46.217,5514.504,9.80588314,0.1729,5517.4469
Pico de Orizaba,Extreme points,19.0327113,-97.2773811,,-3.2938,-0.04,5.394,-2.356,4870.522,9.77380721,-0.4539,4856.2162
